;;"Czy jesteœ studentk¹/studentem.";"Czy jesteœ studentk¹/studentem. wartoœæ";"Na jakiej uczelni studiujesz?";"Na jakiej uczelni studiujesz? wartoœæ";"Jaki kierunek studiujesz?";"Jaki kierunek studiujesz? wartoœæ";"Ile masz lat?";"Ile masz lat? wartoœæ";"Rodzaj studiów";"Rodzaj studiów wartoœæ";"Na którym roku studiów jesteœ?";"Na którym roku studiów jesteœ? wartoœæ";P³eæ;"P³eæ wartoœæ";"Czy pracujesz?";"Czy pracujesz? wartoœæ";"Miejsce zamieszkania:";"Miejsce zamieszkania: wartoœæ";"Czy jesteœ singlem/singielk¹?";"Czy jesteœ singlem/singielk¹? wartoœæ";;"Czy uwa¿asz ¿e masz tendencje do przepracowywania siê?";"Jak czêsto odk³adasz zadania na póŸniej?";"Jak bardzo czujesz siê przyt³oczony nadmiarem obowi¹zków? ";"Czy uwa¿asz, ¿e iloœæ nauki jest powi¹zana z wynikami?";"Jak czêsto uwa¿asz, ¿e kwestionujesz swoje decyzje?";;"Czy uwa¿asz ¿e praca w grupie sprawia ci trudnoœæ?";"U jakiej czêœci twoich znajomych zauwa¿asz oznaki wypalenia? ";"Czy czujesz ¿e masz wsparcie w swoich znajomych ze studiów?";"Czy uwa¿asz ¿e masz wsparcie u rodziny i/lub swoich znajomych spoza studiów?";"Czy uwa¿asz ¿e masz dobre relacje z prowadz¹cymi? ";;"Jak czêsto czujesz siê zmêczony/a fizycznie?  ";"Jak czêsto czujesz siê emocjonalnie wyczerpany? ";"Czy odczuwasz przewlek³y stres? ";"Jak czêsto jesteœ aktywny fizycznie?";"Jak oceniasz jakoœæ swojego snu?";;"Czy rozwijasz swoje pasje poza-naukowo? ";"Jak du¿o czasu poœwiêcasz na naukê tygodniowo?";;"Jak oceniasz trudnoœæ twojego kierunku?";data
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";23;23;"Studia magisterskie";"Studia magisterskie";1;1;Kobieta;Kobieta;Nie;Nie;"Mieszkam sam/a ze wsparciem rodziców";"Mieszkam sam/a ze wsparciem rodziców";Tak;Tak;;4;5;3;3;2;;0;1;4;5;4;;3;2;3;3;4;;3;3;;3;"2025-02-12 09:49:15"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";19;19;"Studia licencjackie";"Studia licencjackie";2;2;Mê¿czyzna;Mê¿czyzna;"Mniej ni¿ 20h tygodniowo";"Mniej ni¿ 20h tygodniowo";"Mieszkam z rodzicami";"Mieszkam z rodzicami";Nie;Nie;;5;3;2;4;4;;1;1;3;2;5;;0;1;4;5;4;;5;3;;2;"2025-02-12 09:59:06"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";21;21;"Studia licencjackie";"Studia licencjackie";1;1;Mê¿czyzna;Mê¿czyzna;Nie;Nie;"Mieszkam sam/a ze wsparciem rodziców";"Mieszkam sam/a ze wsparciem rodziców";Tak;Tak;;3;5;5;5;4;;3;4;3;4;3;;4;3;5;4;4;;3;1;;2;"2025-02-12 10:00:15"
;;Tak;Tak;"Ekonomiczne ";"Ekonomiczne ";Ekonomiczny;Ekonomiczny;19;19;"Studia licencjackie";"Studia licencjackie";1;1;Kobieta;Kobieta;Nie;Nie;"Mieszkam sam/a ze wsparciem rodziców";"Mieszkam sam/a ze wsparciem rodziców";Nie;Nie;;2;3;4;0;2;;0;3;3;2;2;;3;4;4;1;3;;1;4;;4;"2025-02-12 10:02:59"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";Inne;Inne;19;19;"Studia licencjackie";"Studia licencjackie";2;2;Mê¿czyzna;Mê¿czyzna;Nie;Nie;"Mieszkam z rodzicami";"Mieszkam z rodzicami";Tak;Tak;;2;5;4;3;4;;0;3;5;5;4;;4;3;5;3;2;;2;3;;3;"2025-02-12 10:07:59"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";24;24;"Studia magisterskie";"Studia magisterskie";"5 lub wiêcej";"5 lub wiêcej";Kobieta;Kobieta;"Niepe³ny etat";"Niepe³ny etat";"Mieszkam sam/a ze wsparciem rodziców";"Mieszkam sam/a ze wsparciem rodziców";Nie;Nie;;4;4;5;1;5;;5;4;5;3;2;;4;4;4;1;3;;1;2;;3;"2025-02-12 10:10:09"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";22;22;"Studia magisterskie";"Studia magisterskie";1;1;Kobieta;Kobieta;"Pe³en etat";"Pe³en etat";inne;inne;Nie;Nie;;3;5;5;4;4;;2;3;4;3;4;;4;4;4;1;3;;3;2;;2;"2025-02-12 10:11:53"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";24;24;"Studia magisterskie";"Studia magisterskie";"5 lub wiêcej";"5 lub wiêcej";Kobieta;Kobieta;"Pe³en etat";"Pe³en etat";"Utrzymujê siê sam/a";"Utrzymujê siê sam/a";Nie;Nie;;5;4;5;2;3;;0;3;5;5;4;;4;4;3;2;2;;1;1;;3;"2025-02-12 10:12:26"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";19;19;"Studia licencjackie";"Studia licencjackie";1;1;Kobieta;Kobieta;Nie;Nie;"Mieszkam sam/a ze wsparciem rodziców";"Mieszkam sam/a ze wsparciem rodziców";Tak;Tak;;2;2;2;2;3;;1;4;2;2;2;;3;4;3;2;2;;2;2;;2;"2025-02-12 10:12:50"
;;Tak;Tak;"Technicznej –Politechnika.";"Technicznej –Politechnika.";"Kierunki ekonomiczne";"Kierunki ekonomiczne";22;22;"Studia magisterskie";"Studia magisterskie";4;4;Kobieta;Kobieta;Nie;Nie;"Mieszkam z rodzicami";"Mieszkam z rodzicami";Nie;Nie;;3;1;1;4;2;;2;3;3;3;3;;3;1;2;2;3;;4;4;;3;"2025-02-12 10:15:32"
